Month,City,Units_Consumed,Tariff_Rate,Electricity_Bill
10,Hyderabad,384,8.4,3225.6
5,Vadodara,488,7.8,3806.4
7,Shimla,416,7.7,3203.2
6,Mumbai,475,9.2,4370
2,Mumbai,457,9.2,4204.4
6,Ratnagiri,471,7.4,3485.4
5,New Delhi,755,8.5,6417.5
12,New Delhi,492,8.5,4182
8,New Delhi,546,8.5,4641
1,Dahej,578,7.6,4392.8
6,Ahmedabad,450,7.9,3555
12,Mumbai,493,9.2,4535.6
9,Hyderabad,492,8.4,4132.8
11,Ahmedabad,565,7.9,4463.5
7,Noida,414,8.2,3394.8
12,Nagpur,594,8.9,5286.6
2,Chennai,349,8.8,3071.2
4,Dahej,355,7.6,2698
3,New Delhi,467,8.5,3969.5
11,New Delhi,646,8.5,5491
8,Mumbai,476,9.2,4379.2
2,Ratnagiri,659,7.4,4876.6
7,Faridabad,631,8.1,5111.1
4,Faridabad,395,8.1,3199.5
3,Noida,480,8.2,3936
12,Nagpur,678,8.9,6034.2
8,Faridabad,664,8.1,5378.4
8,Nagpur,515,8.9,4583.5
7,Faridabad,509,8.1,4122.9
9,Faridabad,679,8.1,5499.9
4,Hyderabad,564,8.4,4737.6
4,Mumbai,412,9.2,3790.4
12,Faridabad,468,8.1,3790.8
8,Kolkata,452,8.7,3932.4
10,Pune,447,9.1,4067.7
10,New Delhi,361,8.5,3068.5
2,Gurgaon,442,8.3,3668.6
1,Noida,307,8.2,2517.4
10,Noida,494,8.2,4050.8
4,Pune,699,9.1,6360.9
6,Shimla,549,7.7,4227.3
7,Gurgaon,385,8.3,3195.5
12,New Delhi,491,8.5,4173.5
6,Dahej,646,7.6,4909.6
6,Nagpur,546,8.9,4859.4
6,Vadodara,636,7.8,4960.8
2,Kolkata,401,8.7,3488.7
7,Dahej,360,7.6,2736
9,Vadodara,539,7.8,4204.2
7,Navi Mumbai,577,9.3,5366.1
5,New Delhi,673,8.5,5720.5
10,Kolkata,443,8.7,3854.1
11,Gurgaon,398,8.3,3303.4
1,Navi Mumbai,653,9.3,6072.9
12,Hyderabad,421,8.4,3536.4
6,Chennai,421,8.8,3704.8
4,Chennai,650,8.8,5720
6,Ahmedabad,484,7.9,3823.6
6,Noida,737,8.2,6043.4
2,Mumbai,405,9.2,3726
